name,mfr,type,calories,sodium,carbo,sugars,rating
100% Bran,Nabisco,cold,70,130,5,6,68.402973
100% Natural Bran,Quaker Oats,cold,120,15,8,8,33.983679
All-Bran,Kelloggs,cold,70,260,7,5,59.425505
All-Bran with Extra Fiber,Kelloggs,cold,50,140,8,0,93.704912
Almond Delight,Ralston Purina,cold,110,200,14,8,34.384843
Apple Cinnamon Cheerios,General Mills,cold,110,180,10.5,10,29.509541
Apple Jacks,Kelloggs,cold,110,125,11,14,33.174094
Basic 4,General Mills,cold,130,210,18,8,37.038562
Bran Chex,Ralston Purina,cold,90,200,15,6,49.120253
Bran Flakes,Post,cold,90,210,13,5,53.313813
Cap'n'Crunch,Quaker Oats,cold,120,220,12,12,18.042851
Cheerios,General Mills,cold,110,290,17,1,50.764999
Cinnamon Toast Crunch,General Mills,cold,120,210,13,9,19.823573
Clusters,General Mills,cold,110,140,13,7,40.400208
Cocoa Puffs,General Mills,cold,110,180,12,13,22.736446
Corn Chex,Ralston Purina,cold,110,280,22,3,41.445019
Corn Flakes,Kelloggs,cold,100,290,21,2,45.863324
Corn Pops,Kelloggs,cold,110,90,13,12,35.782791
Count Chocula,General Mills,cold,110,180,12,13,22.396513
Cracklin' Oat Bran,Kelloggs,cold,110,140,10,7,40.448772
Cream of Wheat (Quick),Nabisco,hot,100,80,21,0,64.533816
Crispix,Kelloggs,cold,110,220,21,3,46.895644
Crispy Wheat & Raisins,General Mills,cold,100,140,11,10,36.176196
Double Chex,Ralston Purina,cold,100,190,18,5,44.330856
Froot Loops,Kelloggs,cold,110,125,11,13,32.207582
Frosted Flakes,Kelloggs,cold,110,200,14,11,31.435973
Frosted Mini-Wheats,Kelloggs,cold,100,0,14,7,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,Post,cold,120,160,12,10,40.917047
Fruitful Bran,Kelloggs,cold,120,240,14,12,41.015492
Fruity Pebbles,Post,cold,110,135,13,12,28.025765
Golden Crisp,Post,cold,100,45,11,15,35.252444
Golden Grahams,General Mills,cold,110,280,15,9,23.804043
Grape Nuts Flakes,Post,cold,100,140,15,5,52.076897
Grape-Nuts,Post,cold,110,170,17,3,53.371007
Great Grains Pecan,Post,cold,120,75,13,4,45.811716
Honey Graham Ohs,Quaker Oats,cold,120,220,12,11,21.871292
Honey Nut Cheerios,General Mills,cold,110,250,11.5,10,31.072217
Honey-comb,Post,cold,110,180,14,11,28.742414
Just Right Crunchy  Nuggets,Kelloggs,cold,110,170,17,6,36.523683
Just Right Fruit & Nut,Kelloggs,cold,140,170,20,9,36.471512
Kix,General Mills,cold,110,260,21,3,39.241114
Life,Quaker Oats,cold,100,150,12,6,45.328074
Lucky Charms,General Mills,cold,110,180,12,12,26.734515
Maypo,American Home Food Products,hot,100,0,16,3,54.850917
Muesli Raisins; Dates; & Almonds,Ralston Purina,cold,150,95,16,11,37.136863
Muesli Raisins; Peaches; & Pecans,Ralston Purina,cold,150,150,16,11,34.139765
Mueslix Crispy Blend,Kelloggs,cold,160,150,17,13,-999
Multi-Grain Cheerios,General Mills,cold,100,220,15,6,40.105965
Nut&Honey Crunch,Kelloggs,cold,120,190,15,9,29.924285
Nutri-Grain Almond-Raisin,Kelloggs,cold,140,220,21,7,40.69232
Nutri-grain Wheat,Kelloggs,cold,90,170,18,2,59.642837
Oatmeal Raisin Crisp,General Mills,cold,130,170,13.5,10,30.450843
Post Nat. Raisin Bran,Post,cold,120,200,11,14,37.840594
Product 19,Kelloggs,cold,100,320,20,3,41.50354
Puffed Rice,Quaker Oats,cold,50,0,13,0,60.756112
Puffed Wheat,Quaker Oats,cold,50,0,10,0,63.005645
Quaker Oat Squares,Quaker Oats,cold,100,135,14,6,49.511874
Quaker Oatmeal,Quaker Oats,hot,100,0,-1,-1,50.828392
Raisin Bran,Kelloggs,cold,120,210,14,12,39.259197
Raisin Nut Bran,General Mills,cold,100,140,10.5,8,39.7034
Raisin Squares,Kelloggs,cold,90,0,15,6,55.333142
Rice Chex,Ralston Purina,cold,110,240,23,2,41.998933
Rice Krispies,Kelloggs,cold,110,290,22,3,40.560159
Shredded Wheat,Nabisco,cold,80,0,16,0,68.235885
Shredded Wheat 'n'Bran,Nabisco,cold,90,0,19,0,74.472949
Shredded Wheat spoon size,Nabisco,cold,90,0,20,0,-999
Smacks,Kelloggs,cold,110,70,9,15,31.230054
Special K,Kelloggs,cold,110,230,16,3,53.131324
Strawberry Fruit Wheats,Nabisco,cold,90,15,15,5,59.363993
Total Corn Flakes,General Mills,cold,110,200,21,3,38.839746
Total Raisin Bran,General Mills,cold,140,190,15,14,28.592785
Total Whole Grain,General Mills,cold,100,200,16,3,46.658844
Triples,General Mills,cold,110,250,21,3,39.106174
Trix,General Mills,cold,110,140,13,12,27.753301
Wheat Chex,Ralston Purina,cold,100,230,17,3,49.787445
Wheaties,General Mills,cold,100,200,17,3,51.592193
Wheaties Honey Gold,General Mills,cold,110,200,16,8,36.187559
