participant,day,scale,score
1,1,stress,0
1,1,pos_aff,0
1,1,neg_aff,1.6
1,2,stress,3
1,2,pos_aff,0.6
1,2,neg_aff,1.8
1,3,stress,2
1,3,pos_aff,0.8
1,3,neg_aff,1.8
1,4,stress,2
1,4,pos_aff,0.25
1,4,neg_aff,1.4
1,5,stress,0
1,5,pos_aff,0.8
1,5,neg_aff,1.2
1,6,stress,2
1,6,pos_aff,0.2
1,6,neg_aff,1.2
1,7,stress,2
1,7,pos_aff,0.4
1,7,neg_aff,1.2
1,8,stress,0
1,8,pos_aff,0.75
1,8,neg_aff,0.6
1,9,stress,1
1,9,pos_aff,0.6
1,9,neg_aff,1.4
1,10,stress,3
1,10,pos_aff,0.4
1,10,neg_aff,1.4
1,11,stress,1
1,11,pos_aff,0.6
1,11,neg_aff,1.2
1,12,stress,2
1,12,pos_aff,0.4
1,12,neg_aff,1.4
1,13,stress,0
1,13,pos_aff,0.8
1,13,neg_aff,1.2
1,14,stress,2
1,14,pos_aff,0.4
1,14,neg_aff,1.6
1,15,stress,2
1,15,pos_aff,0.6
1,15,neg_aff,1
1,16,stress,1
1,16,pos_aff,0.6
1,16,neg_aff,1.4
1,17,stress,0
1,17,pos_aff,0.8
1,17,neg_aff,1
1,18,stress,3
1,18,pos_aff,1
1,18,neg_aff,0.8
1,19,stress,1
1,19,pos_aff,0.6
1,19,neg_aff,2.2
1,20,stress,2
1,20,pos_aff,0.6
1,20,neg_aff,1.6
1,21,stress,2
1,21,pos_aff,0.8
1,21,neg_aff,1.2
1,22,stress,0
1,22,pos_aff,0.4
1,22,neg_aff,1
1,23,stress,3
1,23,pos_aff,0.6
1,23,neg_aff,2
1,24,stress,2
1,24,pos_aff,0.4
1,24,neg_aff,1.2
1,25,stress,1
1,25,pos_aff,0.4
1,25,neg_aff,1.6
1,26,stress,2
1,26,pos_aff,0.6
1,26,neg_aff,1.4
1,27,stress,0
1,27,pos_aff,0.4
1,27,neg_aff,1.2
1,28,stress,1
1,28,pos_aff,0.6
1,28,neg_aff,1.2
1,29,stress,0
1,29,pos_aff,1.4
1,29,neg_aff,0.8
1,30,stress,0
1,30,pos_aff,1
1,30,neg_aff,1.4
1,31,stress,2
1,31,pos_aff,0.6
1,31,neg_aff,1.2
1,32,stress,1
1,32,pos_aff,0.8
1,32,neg_aff,1
1,33,stress,0
1,33,pos_aff,0.8
1,33,neg_aff,1
1,34,stress,1
1,34,pos_aff,1
1,34,neg_aff,1.4
1,35,stress,0
1,35,pos_aff,0.8
1,35,neg_aff,1.2
1,36,stress,3
1,36,pos_aff,0.6
1,36,neg_aff,1.4
1,37,stress,0
1,37,pos_aff,0.6
1,37,neg_aff,1.2
1,38,stress,3
1,38,pos_aff,0.4
1,38,neg_aff,1.4
1,39,stress,2
1,39,pos_aff,0.6
1,39,neg_aff,1.2
1,40,stress,2
1,40,pos_aff,0.2
1,40,neg_aff,1.4
1,41,stress,2
1,41,pos_aff,0.8
1,41,neg_aff,1.2
1,42,stress,1
1,42,pos_aff,0.6
1,42,neg_aff,1.2
1,43,stress,2
1,43,pos_aff,0
1,43,neg_aff,2
1,44,stress,1
1,44,pos_aff,0.2
1,44,neg_aff,1.2
1,45,stress,2
1,45,pos_aff,0.4
1,45,neg_aff,1.6
1,46,stress,1
1,46,pos_aff,0.6
1,46,neg_aff,1.2
1,47,stress,2
1,47,pos_aff,0.6
1,47,neg_aff,1.2
1,48,stress,1
1,48,pos_aff,0.6
1,48,neg_aff,1.4
1,49,stress,0
1,49,pos_aff,1.2
1,49,neg_aff,0.8
1,50,stress,0
1,50,pos_aff,0.8
1,50,neg_aff,1.2
1,51,stress,1
1,51,pos_aff,0.6
1,51,neg_aff,1.2
1,52,stress,2
1,52,pos_aff,0.4
1,52,neg_aff,1.6
1,53,stress,0
1,53,pos_aff,0.4
1,53,neg_aff,1.2
1,54,stress,2
1,54,pos_aff,0.6
1,54,neg_aff,1.6
1,55,stress,0
1,55,pos_aff,0.8
1,55,neg_aff,0.6
1,56,stress,0
1,56,pos_aff,1
1,56,neg_aff,1
1,57,stress,2
1,57,pos_aff,1
1,57,neg_aff,1.6
1,58,stress,1
1,58,pos_aff,0.6
1,58,neg_aff,1.4
1,59,stress,1
1,59,pos_aff,0.4
1,59,neg_aff,1.6
1,60,stress,3
1,60,pos_aff,0.4
1,60,neg_aff,2.2
1,61,stress,2
1,61,pos_aff,0.4
1,61,neg_aff,1.6
1,62,stress,1
1,62,pos_aff,0.4
1,62,neg_aff,1.6
1,63,stress,1
1,63,pos_aff,0.4
1,63,neg_aff,1.4
1,64,stress,1
1,64,pos_aff,0.4
