Subject,Sex,Task,Amused,Afraid,Pained,Embarrassed
1,F,A,4,0,0,0
1,F,B,0,0,0,4
1,F,C,0,5,0,0
1,F,D,0,0,4,0
2,F,A,3,0,0,0
2,F,B,0,0,0,4
2,F,C,0,4,0,0
2,F,D,0,0,5,0
3,F,A,3,0,0,0
3,F,B,2,0,0,4
3,F,C,0,4,0,0
3,F,D,0,0,5,0
4,F,A,4,0,0,0
4,F,B,0,0,0,4
4,F,C,0,5,0,0
4,F,D,0,0,4,0
5,F,A,4,0,0,0
5,F,B,4,0,0,5
5,F,C,4,3,0,0
5,F,D,0,0,4,0
6,F,A,5,0,0,4
6,F,B,2,0,0,5
6,F,C,4,1,0,0
6,F,D,0,0,5,0
7,F,A,4,0,0,0
7,F,B,2,0,0,4
7,F,C,0,4,0,0
7,F,D,0,0,5,0
8,F,A,4,0,0,0
8,F,B,3,0,0,2
8,F,C,0,2,0,0
8,F,D,0,0,5,0
9,F,A,3,0,0,0
9,F,B,0,0,0,3
9,F,C,1,2,0,0
9,F,D,0,0,4,0
10,F,A,3,0,0,0
10,F,B,2,0,0,5
10,F,C,0,3,2,0
10,F,D,0,0,4,0
11,F,A,4,0,0,0
11,F,B,4,0,0,4
11,F,C,0,3,0,0
11,F,D,0,1,5,0
12,F,A,3,0,0,0
12,F,B,0,2,0,2
12,F,C,0,2,0,0
12,F,D,0,0,5,0
13,F,A,3,0,0,0
13,F,B,3,0,0,4
13,F,C,0,5,0,0
13,F,D,0,0,5,0
14,F,A,3,0,0,0
14,F,B,3,0,0,3
14,F,C,1,1,0,0
14,F,D,0,0,2,0
15,F,A,3,0,0,1
15,F,B,2,0,0,5
15,F,C,0,4,0,0
15,F,D,0,0,4,0
16,F,A,4,0,0,0
16,F,B,3,0,0,5
16,F,C,0,0,0,0
16,F,D,0,0,4,0
17,F,A,4,0,0,0
17,F,B,0,0,0,5
17,F,C,0,2,0,0
17,F,D,0,4,5,0
18,F,A,3,0,0,0
18,F,B,0,0,0,2
18,F,C,0,0,0,0
18,F,D,0,0,5,0
19,F,A,4,0,0,0
19,F,B,0,0,0,5
19,F,C,0,0,0,0
19,F,D,0,0,4,0
20,F,A,3,0,0,0
20,F,B,0,0,0,4
20,F,C,0,4,0,0
20,F,D,0,0,3,0
21,F,A,4,0,0,0
21,F,B,4,0,0,0
21,F,C,5,0,0,0
21,F,D,0,0,4,0
22,F,A,3,0,0,0
22,F,B,0,0,0,4
22,F,C,0,2,0,0
22,F,D,0,0,4,0
23,F,A,4,0,0,0
23,F,B,0,0,0,5
23,F,C,0,5,0,0
23,F,D,0,3,5,0
24,F,A,3,0,0,0
24,F,B,0,0,0,2
24,F,C,0,0,0,0
24,F,D,0,0,4,0
25,F,A,2,0,0,0
25,F,B,0,0,0,5
25,F,C,0,3,0,0
25,F,D,0,0,4,0
26,F,A,2,0,0,0
26,F,B,1,0,0,3
26,F,C,0,2,0,0
26,F,D,0,0,3,0
27,F,A,4,0,0,0
27,F,B,0,0,0,4
27,F,C,0,2,0,0
27,F,D,0,0,4,0
28,F,A,4,0,0,0
28,F,B,0,0,0,3
28,F,C,0,1,0,0
28,F,D,0,0,4,0
29,F,A,4,0,0,0
29,F,B,4,0,0,4
29,F,C,4,0,0,0
29,F,D,0,0,5,0
30,F,A,3,0,0,0
30,F,B,0,0,0,2
30,F,C,0,0,0,0
30,F,D,0,0,4,0
31,F,A,4,0,0,0
31,F,B,4,0,0,2
31,F,C,0,4,0,0
31,F,D,0,0,4,0
32,F,A,3,0,0,0
32,F,B,0,0,0,2
32,F,C,0,0,0,0
32,F,D,0,0,4,0
33,F,A,3,0,0,0
33,F,B,0,0,0,5
33,F,C,0,5,2,0
33,F,D,0,2,5,0
34,F,A,3,0,0,0
34,F,B,2,0,0,1
34,F,C,0,2,0,0
34,F,D,0,0,4,0
35,F,A,4,0,0,0
35,F,B,1,0,0,1
35,F,C,0,1,0,0
35,F,D,0,0,3,0
36,F,A,2,0,0,0
36,F,B,0,0,0,4
36,F,C,0,2,0,0
36,F,D,0,0,5,0
37,F,A,3,0,0,0
37,F,B,0,0,0,5
37,F,C,0,4,0,0
37,F,D,0,0,5,0
38,F,A,3,0,0,0
38,F,B,0,0,0,3
38,F,C,0,3,0,0
38,F,D,0,0,3,0
39,F,A,3,0,0,0
39,F,B,1,0,0,3
39,F,C,1,3,0,0
39,F,D,0,0,4,0
40,F,A,0,0,0,0
40,F,B,0,0,0,5
40,F,C,0,3,0,0
40,F,D,0,5,5,0
41,F,A,1,0,0,2
41,F,B,1,0,0,4
41,F,C,0,1,0,0
41,F,D,0,0,4,0
42,F,A,0,0,0,0
42,F,B,0,0,0,1
42,F,C,0,2,0,0
42,F,D,0,0,4,0
43,F,A,4,0,0,0
43,F,B,4,0,0,2
43,F,C,0,3,0,0
43,F,D,0,0,5,0
44,F,A,2,0,0,0
44,F,B,0,0,0,4
44,F,C,0,2,0,0
44,F,D,0,0,5,0
45,F,A,2,1,0,0
45,F,B,3,0,0,4
45,F,C,3,0,0,0
45,F,D,0,3,4,0
46,F,A,5,0,0,0
46,F,B,5,0,0,0
46,F,C,4,0,0,0
46,F,D,0,0,5,0
47,F,A,3,0,0,0
47,F,B,0,0,0,3
47,F,C,0,2,0,0
47,F,D,0,0,5,0
48,F,A,2,0,0,0
48,F,B,0,0,0,3
48,F,C,0,0,0,0
48,F,D,0,0,4,0
49,F,A,4,0,0,0
49,F,B,2,0,0,1
49,F,C,0,1,0,0
49,F,D,0,0,3,0
50,F,A,2,0,0,0
50,F,B,0,0,0,4
50,F,C,0,5,0,0
50,F,D,0,0,5,0
51,F,A,5,0,0,0
51,F,B,0,0,0,4
51,F,C,4,1,0,0
51,F,D,0,3,4,0
52,F,A,3,0,0,0
52,F,B,1,0,0,5
52,F,C,0,2,0,0
52,F,D,0,0,2,0
53,F,A,4,0,0,0
53,F,B,0,0,0,5
53,F,C,0,2,0,0
53,F,D,0,0,5,0
54,F,A,4,0,0,0
54,F,B,0,0,0,5
54,F,C,0,0,0,0
54,F,D,0,0,5,0
55,F,A,4,0,0,0
55,F,B,0,0,0,3
55,F,C,0,4,0,0
55,F,D,0,0,5,0
56,F,A,2,0,0,0
56,F,B,4,0,0,0
56,F,C,2,0,0,0
56,F,D,0,0,1,0
57,F,A,2,0,0,0
57,F,B,0,0,0,0
57,F,C,0,3,0,0
57,F,D,0,0,3,0
58,F,A,4,0,0,0
58,F,B,4,0,0,3
58,F,C,2,0,0,0
58,F,D,0,2,4,0
59,F,A,4,0,0,0
59,F,B,4,0,0,4
59,F,C,0,2,0,0
59,F,D,0,0,5,0
60,F,A,3,0,0,0
60,F,B,1,0,0,2
60,F,C,1,0,0,0
60,F,D,0,0,2,0
61,F,A,3,0,0,0
61,F,B,2,0,0,5
61,F,C,0,0,0,0
61,F,D,0,1,3,0
62,F,A,2,0,0,0
62,F,B,0,0,0,5
62,F,C,0,4,0,0
62,F,D,0,0,4,0
63,F,A,1,0,0,0
63,F,B,0,0,0,4
63,F,C,0,3,0,0
63,F,D,0,0,2,0
64,F,A,1,0,0,0
64,F,B,0,0,0,2
64,F,C,0,1,0,0
64,F,D,0,0,5,0
65,F,A,1,0,0,0
65,F,B,1,0,0,2
65,F,C,1,0,0,0
65,F,D,1,0,2,0
66,F,A,2,0,0,0
66,F,B,0,0,0,1
66,F,C,0,0,0,0
66,F,D,0,0,5,0
67,F,A,2,0,0,0
67,F,B,0,0,0,5
67,F,C,5,0,0,0
67,F,D,0,0,5,0
68,F,A,4,0,0,0
68,F,B,0,0,0,4
68,F,C,0,3,0,0
68,F,D,0,0,3,0
69,F,A,1,0,0,0
69,F,B,1,0,0,1
69,F,C,1,3,0,0
69,F,D,0,0,5,0
70,F,A,2,0,0,0
70,F,B,0,0,0,3
70,F,C,0,1,0,0
70,F,D,0,0,5,0
71,F,A,3,0,0,0
71,F,B,0,0,0,2
71,F,C,0,2,0,0
71,F,D,0,0,3,0
72,F,A,4,0,0,0
72,F,B,3,0,0,1
72,F,C,2,1,0,0
72,F,D,0,1,2,0
73,F,A,5,0,0,0
73,F,B,3,0,0,4
73,F,C,0,4,0,0
73,F,D,0,0,4,0
74,F,A,4,0,0,0
74,F,B,0,0,0,4
74,F,C,0,1,0,0
74,F,D,0,0,3,0
75,F,A,5,0,0,0
75,F,B,5,0,0,5
75,F,C,0,4,0,0
75,F,D,0,0,4,0
76,F,A,3,0,0,0
76,F,B,0,0,0,5
76,F,C,0,0,0,3
76,F,D,0,0,4,0
77,F,A,4,0,0,0
77,F,B,2,0,0,2
77,F,C,0,3,0,0
77,F,D,0,0,5,0
78,F,A,5,0,0,0
78,F,B,0,0,0,4
78,F,C,0,2,0,0
78,F,D,0,0,4,0
79,F,A,3,0,0,0
79,F,B,2,0,0,1
79,F,C,0,3,0,0
79,F,D,0,0,4,0
80,F,A,2,0,0,0
80,F,B,2,0,0,4
80,F,C,0,2,0,0
80,F,D,0,0,4,0
81,F,A,3,0,0,0
81,F,B,3,0,0,5
81,F,C,3,0,0,0
81,F,D,0,0,5,0
82,M,A,3,0,0,0
82,M,B,0,0,0,3
82,M,C,1,4,0,0
82,M,D,0,0,4,0
83,M,A,0,0,0,0
83,M,B,0,0,0,4
83,M,C,0,0,0,0
83,M,D,0,0,3,0
84,M,A,5,0,0,0
84,M,B,0,0,0,5
84,M,C,3,0,0,0
84,M,D,4,0,2,0
85,M,A,4,0,0,0
85,M,B,5,0,0,5
85,M,C,3,5,0,0
85,M,D,0,0,4,0
86,M,A,1,0,0,0
86,M,B,0,0,0,5
86,M,C,0,3,0,0
86,M,D,0,0,3,0
87,M,A,4,0,0,0
87,M,B,3,0,0,3
87,M,C,5,0,0,0
87,M,D,0,0,3,0
88,M,A,5,0,0,0
88,M,B,0,0,0,4
88,M,C,0,5,0,0
88,M,D,0,0,5,0
89,M,A,2,0,0,0
89,M,B,0,0,0,4
89,M,C,0,2,0,0
89,M,D,0,0,4,0
90,M,A,4,0,0,0
90,M,B,2,0,0,4
90,M,C,0,4,0,0
90,M,D,0,0,2,0
91,M,A,4,0,0,0
91,M,B,0,0,0,3
91,M,C,0,0,0,0
91,M,D,0,0,1,0
92,M,A,3,0,0,0
92,M,B,1,0,0,4
92,M,C,1,3,0,0
92,M,D,0,0,2,0
93,M,A,2,0,0,0
93,M,B,0,0,0,1
93,M,C,2,2,0,0
93,M,D,0,0,4,0
94,M,A,5,0,0,0
94,M,B,0,0,0,3
94,M,C,3,0,0,0
94,M,D,0,0,4,0
95,M,A,2,0,0,1
95,M,B,3,0,0,3
95,M,C,0,5,0,0
95,M,D,0,1,4,0
96,M,A,4,0,0,0
96,M,B,3,0,0,4
96,M,C,0,0,0,0
96,M,D,0,0,3,0
97,M,A,4,0,0,0
97,M,B,0,0,0,0
97,M,C,0,0,0,0
97,M,D,0,0,4,0
98,M,A,3,0,0,0
98,M,B,4,0,0,2
98,M,C,0,4,0,0
98,M,D,0,4,5,0
99,M,A,2,0,0,0
99,M,B,0,0,0,5
99,M,C,0,3,0,0
