yrs_since,n_pubs,sex,n_cites,salary
3,18,female,50,21876
6,3,female,26,54511
3,2,female,50,53425
8,17,male,34,61863
9,11,female,41,52926
6,6,male,37,47034
16,38,male,48,66432
10,48,male,56,61100
2,9,male,19,41934
5,22,male,29,97454
5,30,female,28,49832
6,21,male,31,47047
7,10,female,25,39115
11,27,male,40,59677
18,37,male,61,61458
6,8,male,32,54528
9,13,female,36,60327
7,6,male,69,56600
7,12,female,47,52542
3,29,female,29,50455
7,29,female,35,51647
5,7,male,35,62895
7,6,male,18,53740
13,69,male,90,75822
5,11,male,60,56596
8,9,female,30,55682
8,20,female,27,62091
7,41,female,35,42162
2,3,female,14,52646
13,27,male,56,74199
5,14,male,50,50729
3,23,male,25,70011
1,1,male,35,37939
3,7,male,1,39652
9,19,male,69,68987
3,11,male,69,55579
9,31,male,27,54671
3,9,male,50,57704
4,12,female,32,44045
10,32,male,33,51122
1,26,male,45,47082
11,12,male,54,60009
5,9,male,47,58632
1,6,male,29,38340
21,39,male,69,71219
7,16,female,47,53712
5,12,female,43,54782
16,50,male,55,83503
5,18,male,33,47212
4,6,female,28,52840
5,5,male,42,53650
11,20,male,24,50931
16,50,female,31,66784
3,6,female,27,49751
4,19,female,83,74343
4,11,female,49,57710
5,13,male,14,52676
6,3,female,36,41195
4,8,female,34,45662
8,11,female,70,47606
3,25,female,27,44301
4,4,female,28,58582
